image,kontext_images,prompt
viz_samples/1540780_885846_客卫_with_ceiling.png,viz_samples/1540780_885846_客卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_12888_卫生间_with_ceiling.png,viz_samples/1570801_12888_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_18727_客餐厅_with_ceiling.png,viz_samples/1570801_18727_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_21486_主卧_with_ceiling.png,viz_samples/1570801_21486_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_30164_厨房_with_ceiling.png,viz_samples/1570801_30164_厨房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_32723_淋浴房_with_ceiling.png,viz_samples/1570801_32723_淋浴房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1570801_38237_次卧_with_ceiling.png,viz_samples/1570801_38237_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_105361_卧室_with_ceiling.png,viz_samples/1702692_105361_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_16181_卫生间_with_ceiling.png,viz_samples/1702692_16181_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_3591262_卧室_with_ceiling.png,viz_samples/1702692_3591262_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_6572846_卧室_with_ceiling.png,viz_samples/1702692_6572846_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_6572971_客餐厅_with_ceiling.png,viz_samples/1702692_6572971_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1702692_99156_卫生间_with_ceiling.png,viz_samples/1702692_99156_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1711526_12861_卫生间_with_ceiling.png,viz_samples/1711526_12861_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1711526_26421_阳台_with_ceiling.png,viz_samples/1711526_26421_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1711526_26492_客厅_with_ceiling.png,viz_samples/1711526_26492_客厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1711526_2956_卧室_with_ceiling.png,viz_samples/1711526_2956_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_12886_洗衣房_with_ceiling.png,viz_samples/1820838_12886_洗衣房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_19625_客卫_with_ceiling.png,viz_samples/1820838_19625_客卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_36953_儿童房_with_ceiling.png,viz_samples/1820838_36953_儿童房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_3970935_主卧_with_ceiling.png,viz_samples/1820838_3970935_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_3971042_主卧_with_ceiling.png,viz_samples/1820838_3971042_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_40280_次卧_with_ceiling.png,viz_samples/1820838_40280_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_45483_主卫_with_ceiling.png,viz_samples/1820838_45483_主卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_53638_客餐厅_with_ceiling.png,viz_samples/1820838_53638_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1820838_53889_厨房_with_ceiling.png,viz_samples/1820838_53889_厨房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_105361_次卧_with_ceiling.png,viz_samples/1872162_105361_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_16181_卫生间_with_ceiling.png,viz_samples/1872162_16181_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_3591262_次卧_with_ceiling.png,viz_samples/1872162_3591262_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_6572846_主卧_with_ceiling.png,viz_samples/1872162_6572846_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_6572971_客餐厅_with_ceiling.png,viz_samples/1872162_6572971_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/1872162_99156_主卫_with_ceiling.png,viz_samples/1872162_99156_主卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_2273906_主卧_with_ceiling.png,viz_samples/2153099_2273906_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_2533875_厨房_with_ceiling.png,viz_samples/2153099_2533875_厨房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_33347_卫生间_with_ceiling.png,viz_samples/2153099_33347_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_39417_书房_with_ceiling.png,viz_samples/2153099_39417_书房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_5289_阳台_with_ceiling.png,viz_samples/2153099_5289_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_67874_次卧_with_ceiling.png,viz_samples/2153099_67874_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2153099_81550_客餐厅_with_ceiling.png,viz_samples/2153099_81550_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_11655_卫生间_with_ceiling.png,viz_samples/2158503_11655_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_11958_卧室_with_ceiling.png,viz_samples/2158503_11958_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_12261_卧室_with_ceiling.png,viz_samples/2158503_12261_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_12814_卫生间_with_ceiling.png,viz_samples/2158503_12814_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_3677556_客厅_with_ceiling.png,viz_samples/2158503_3677556_客厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_3678635_卧室_with_ceiling.png,viz_samples/2158503_3678635_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2158503_9697_阳台_with_ceiling.png,viz_samples/2158503_9697_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_11437488_卫生间_with_ceiling.png,viz_samples/2177259_11437488_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_316298_阳台_with_ceiling.png,viz_samples/2177259_316298_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_62908_卫生间_with_ceiling.png,viz_samples/2177259_62908_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_837137_客餐厅_with_ceiling.png,viz_samples/2177259_837137_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_9164545_卧室_with_ceiling.png,viz_samples/2177259_9164545_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2177259_9164639_卧室_with_ceiling.png,viz_samples/2177259_9164639_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_100642_主卫_with_ceiling.png,viz_samples/2219402_100642_主卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_13017_次卧_with_ceiling.png,viz_samples/2219402_13017_次卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_14207_儿童房_with_ceiling.png,viz_samples/2219402_14207_儿童房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_14558_主卧_with_ceiling.png,viz_samples/2219402_14558_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_183540_长辈房_with_ceiling.png,viz_samples/2219402_183540_长辈房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_2288431_客厅_with_ceiling.png,viz_samples/2219402_2288431_客厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_2288673_客卫_with_ceiling.png,viz_samples/2219402_2288673_客卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_47006_厨房_with_ceiling.png,viz_samples/2219402_47006_厨房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2219402_850619_阳台_with_ceiling.png,viz_samples/2219402_850619_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_147602_卫生间_with_ceiling.png,viz_samples/2226333_147602_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_154774_次卧1_with_ceiling.png,viz_samples/2226333_154774_次卧1_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_241044_客卫_with_ceiling.png,viz_samples/2226333_241044_客卫_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_241138_书房_with_ceiling.png,viz_samples/2226333_241138_书房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_25648_景观阳台_with_ceiling.png,viz_samples/2226333_25648_景观阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_29444_次卧2_with_ceiling.png,viz_samples/2226333_29444_次卧2_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_31612_玄关_with_ceiling.png,viz_samples/2226333_31612_玄关_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: entrance. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_36009_主卧_with_ceiling.png,viz_samples/2226333_36009_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_38500_卫生间_with_ceiling.png,viz_samples/2226333_38500_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_92175_客餐厅_with_ceiling.png,viz_samples/2226333_92175_客餐厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_92341_主卧_with_ceiling.png,viz_samples/2226333_92341_主卧_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2226333_92411_衣帽间_with_ceiling.png,viz_samples/2226333_92411_衣帽间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: storage_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_130930_阳台_with_ceiling.png,viz_samples/2269631_130930_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_18578_卫生间_with_ceiling.png,viz_samples/2269631_18578_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_232595_卧室_with_ceiling.png,viz_samples/2269631_232595_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_232665_阳台_with_ceiling.png,viz_samples/2269631_232665_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_232759_卫生间_with_ceiling.png,viz_samples/2269631_232759_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_3614512_卧室_with_ceiling.png,viz_samples/2269631_3614512_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_3631066_书房_with_ceiling.png,viz_samples/2269631_3631066_书房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_3723447_卫生间_with_ceiling.png,viz_samples/2269631_3723447_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_3770490_卧室_with_ceiling.png,viz_samples/2269631_3770490_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2269631_411215_卫生间_with_ceiling.png,viz_samples/2269631_411215_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_11579_阳台_with_ceiling.png,viz_samples/2290734_11579_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_13080_卧室_with_ceiling.png,viz_samples/2290734_13080_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_24898_阳台_with_ceiling.png,viz_samples/2290734_24898_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_5041699_客厅_with_ceiling.png,viz_samples/2290734_5041699_客厅_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_8783_卧室_with_ceiling.png,viz_samples/2290734_8783_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_9617_书房_with_ceiling.png,viz_samples/2290734_9617_书房_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2290734_9992_卫生间_with_ceiling.png,viz_samples/2290734_9992_卫生间_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2313374_129719_阳台_with_ceiling.png,viz_samples/2313374_129719_阳台_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
viz_samples/2313374_135478_卧室_with_ceiling.png,viz_samples/2313374_135478_卧室_no_ceil.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. condition: input is floorplan without ceiling; output adds ceiling semantics only. ceiling depth is encoded by fixed semantic colors."
