image,kontext_images,prompt
viz_samples/1570801_21486_主卧_with_furn.png,viz_samples/1570801_21486_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1570801_30164_厨房_with_furn.png,viz_samples/1570801_30164_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen."
viz_samples/1570801_32723_淋浴房_with_furn.png,viz_samples/1570801_32723_淋浴房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room."
viz_samples/1570801_38237_次卧_with_furn.png,viz_samples/1570801_38237_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1711526_2956_卧室_with_furn.png,viz_samples/1711526_2956_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1711526_12861_卫生间_with_furn.png,viz_samples/1711526_12861_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/1711526_26421_阳台_with_furn.png,viz_samples/1711526_26421_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/1711526_26492_客厅_with_furn.png,viz_samples/1711526_26492_客厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room."
viz_samples/1820838_12886_洗衣房_with_furn.png,viz_samples/1820838_12886_洗衣房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/1820838_19625_客卫_with_furn.png,viz_samples/1820838_19625_客卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes the design of functioning, sanitation and dry-wet separation to ensure ease of use and space cleaning."
viz_samples/1820838_36953_儿童房_with_furn.png,viz_samples/1820838_36953_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Well-functioning main bedrooms (covering caps and independent baths)"
viz_samples/1820838_40280_次卧_with_furn.png,viz_samples/1820838_40280_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1820838_45483_主卫_with_furn.png,viz_samples/1820838_45483_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/1820838_53638_客餐厅_with_furn.png,viz_samples/1820838_53638_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room."
viz_samples/1820838_53889_厨房_with_furn.png,viz_samples/1820838_53889_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen."
viz_samples/1820838_3970935_主卧_with_furn.png,viz_samples/1820838_3970935_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Well-functioning main bedrooms (covering caps and independent baths)"
viz_samples/1820838_3971042_主卧_with_furn.png,viz_samples/1820838_3971042_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Well-functioning main bedrooms (covering caps and independent baths)"
viz_samples/1872162_16181_卫生间_with_furn.png,viz_samples/1872162_16181_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/1872162_99156_主卫_with_furn.png,viz_samples/1872162_99156_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/1872162_105361_次卧_with_furn.png,viz_samples/1872162_105361_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The need to combine learning/work functions"
viz_samples/1872162_3591262_次卧_with_furn.png,viz_samples/1872162_3591262_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The need to combine learning/work functions"
viz_samples/1872162_6572846_主卧_with_furn.png,viz_samples/1872162_6572846_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The main bedroom needs to have an independent bath to keep it private."
viz_samples/1872162_6572971_客餐厅_with_furn.png,viz_samples/1872162_6572971_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: LDK integrated design to expand visual space"
viz_samples/2153099_5289_阳台_with_furn.png,viz_samples/2153099_5289_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/2153099_33347_卫生间_with_furn.png,viz_samples/2153099_33347_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene, focuses on the design of dry and wet separations and ensures clean space."
viz_samples/2153099_39417_书房_with_furn.png,viz_samples/2153099_39417_书房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. feature: Establishment of an independent two-person library with a leisure function"
viz_samples/2153099_67874_次卧_with_furn.png,viz_samples/2153099_67874_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Sub-residential needs to meet basic residential and learning needs"
viz_samples/2153099_81550_客餐厅_with_furn.png,viz_samples/2153099_81550_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: I want the restaurant to be integrated in order to keep my senses alive."
viz_samples/2153099_2273906_主卧_with_furn.png,viz_samples/2153099_2273906_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: He/she needs adequate storage and dressing/office space"
viz_samples/2153099_2533875_厨房_with_furn.png,viz_samples/2153099_2533875_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. feature: Kitchen's looking for an efficient operating line."
viz_samples/2219402_13017_次卧_with_furn.png,viz_samples/2219402_13017_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Emphasis on the privacy and respect of the master bedroom."
viz_samples/2219402_14207_儿童房_with_furn.png,viz_samples/2219402_14207_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Emphasis on the privacy and respect of the master bedroom."
viz_samples/2219402_14558_主卧_with_furn.png,viz_samples/2219402_14558_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Emphasis on the privacy and respect of the master bedroom."
viz_samples/2219402_47006_厨房_with_furn.png,viz_samples/2219402_47006_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen."
viz_samples/2219402_100642_主卫_with_furn.png,viz_samples/2219402_100642_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene, focusing on the design of dry-wet separation, ensuring that space is clean and easy to use."
viz_samples/2219402_183540_长辈房_with_furn.png,viz_samples/2219402_183540_长辈房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Emphasis on the privacy and respect of the master bedroom."
viz_samples/2219402_850619_阳台_with_furn.png,viz_samples/2219402_850619_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: The balconies of leisure life."
viz_samples/2219402_2288431_客厅_with_furn.png,viz_samples/2219402_2288431_客厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room."
viz_samples/2219402_2288673_客卫_with_furn.png,viz_samples/2219402_2288673_客卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene, focusing on the design of dry-wet separation, ensuring that space is clean and easy to use."
viz_samples/2226333_25648_景观阳台_with_furn.png,viz_samples/2226333_25648_景观阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/2226333_31612_玄关_with_furn.png,viz_samples/2226333_31612_玄关_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: entrance."
viz_samples/2226333_36009_主卧_with_furn.png,viz_samples/2226333_36009_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The main suite needs resting, office and makeup functions."
viz_samples/2226333_38500_卫生间_with_furn.png,viz_samples/2226333_38500_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/2226333_29444_次卧2_with_furn.png,viz_samples/2226333_29444_次卧2_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Moreover, two sleeping spaces are currently reserved without specific allocation, showing consideration for residence flexibility or changes in future family members."
viz_samples/2226333_92175_客餐厅_with_furn.png,viz_samples/2226333_92175_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: Create an open LDK social space with an emphasis on perceptiveness and fluidity"
viz_samples/2226333_92341_主卧_with_furn.png,viz_samples/2226333_92341_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The main suite needs resting, office and makeup functions."
viz_samples/2226333_92411_衣帽间_with_furn.png,viz_samples/2226333_92411_衣帽间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: storage_room."
viz_samples/2226333_147602_卫生间_with_furn.png,viz_samples/2226333_147602_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/2226333_154774_次卧1_with_furn.png,viz_samples/2226333_154774_次卧1_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Moreover, two sleeping spaces are currently reserved without specific allocation, showing consideration for residence flexibility or changes in future family members."
viz_samples/2226333_241044_客卫_with_furn.png,viz_samples/2226333_241044_客卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene and the design of dry-wet separation in order to keep space clean."
viz_samples/2226333_241138_书房_with_furn.png,viz_samples/2226333_241138_书房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study. feature: Office and makeup functions"
viz_samples/2269631_18578_卫生间_with_furn.png,viz_samples/2269631_18578_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/2269631_130930_阳台_with_furn.png,viz_samples/2269631_130930_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: Household type: L-type super-high-horizon layout, with a high-grade home with extreme lighting."
viz_samples/2269631_232595_卧室_with_furn.png,viz_samples/2269631_232595_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The emphasis is on super-social scales, a stand-alone home system, and a five-star hotel-size master suite experience."
viz_samples/2269631_232665_阳台_with_furn.png,viz_samples/2269631_232665_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: Household type: L-type super-high-horizon layout, with a high-grade home with extreme lighting."
viz_samples/2269631_232759_卫生间_with_furn.png,viz_samples/2269631_232759_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/2269631_411215_卫生间_with_furn.png,viz_samples/2269631_411215_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/2269631_3614512_卧室_with_furn.png,viz_samples/2269631_3614512_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The emphasis is on super-social scales, a stand-alone home system, and a five-star hotel-size master suite experience."
viz_samples/2269631_3631066_书房_with_furn.png,viz_samples/2269631_3631066_书房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study."
viz_samples/2269631_3723447_卫生间_with_furn.png,viz_samples/2269631_3723447_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/2269631_3770490_卧室_with_furn.png,viz_samples/2269631_3770490_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The emphasis is on super-social scales, a stand-alone home system, and a five-star hotel-size master suite experience."
viz_samples/2290734_8783_卧室_with_furn.png,viz_samples/2290734_8783_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: With two bedrooms."
viz_samples/2290734_9617_书房_with_furn.png,viz_samples/2290734_9617_书房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: study."
viz_samples/2290734_11579_阳台_with_furn.png,viz_samples/2290734_11579_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/2290734_13080_卧室_with_furn.png,viz_samples/2290734_13080_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: With two bedrooms."
viz_samples/2290734_24898_阳台_with_furn.png,viz_samples/2290734_24898_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/2290734_9992_卫生间_with_furn.png,viz_samples/2290734_9992_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/2290734_5041699_客厅_with_furn.png,viz_samples/2290734_5041699_客厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_room."
viz_samples/2428975_3044_主卧_with_furn.png,viz_samples/2428975_3044_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The needs associated with the main bedroom are described as follows: ""The main bedroom needs to have a large capacity through the top closet."""
viz_samples/2428975_9406_卫生间_with_furn.png,viz_samples/2428975_9406_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasises dry and wet separation and hygiene."
viz_samples/2428975_3546431_玄关_with_furn.png,viz_samples/2428975_3546431_玄关_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: entrance. feature: and install multi-purpose gateways at the in-house to increase storage space; bottom is the gateway and the L kitchen."
viz_samples/2428975_6269_次卧_with_furn.png,viz_samples/2428975_6269_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: There is limited room for sleep, and a combination of rice and desk cabinets is required to reconcile sleep and study functions"
viz_samples/2428975_7040_客餐厅_with_furn.png,viz_samples/2428975_7040_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: Portal integration area on the left side; open layout of the dining room"
viz_samples/2430829_13299_主卫_with_furn.png,viz_samples/2430829_13299_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: There's an independent bath in the master's bedroom."
viz_samples/2430829_15626_主卧_with_furn.png,viz_samples/2430829_15626_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The needs associated with the main bedroom are described as follows: ""The top right corner is the main bedroom."""
viz_samples/2430829_331035_客餐厅_with_furn.png,viz_samples/2430829_331035_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: Restaurants are designed in an integrated and open manner, with loose wires and a green recreational area on the balcony."
viz_samples/2430829_331297_儿童房_with_furn.png,viz_samples/2430829_331297_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: One of them is a children's room."
viz_samples/2430829_215795_卫生间_with_furn.png,viz_samples/2430829_215795_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes functionality and hygiene, focuses on the design of dry-wet separations and ensures space cleanness."
viz_samples/2430829_611156_老人房_with_furn.png,viz_samples/2430829_611156_老人房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Three bedrooms are distributed in the first half and on the left side; the top right corner is the main bedroom (wood flooring)"
viz_samples/2430829_248139_厨房_with_furn.png,viz_samples/2430829_248139_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. feature: There's a kitchen and a public health room in the centre."
viz_samples/2430829_215865_阳台_with_furn.png,viz_samples/2430829_215865_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: And connect to the large balcony below the left; the balcony keeps a green recreational area."
viz_samples/2435146_2899_次卧_with_furn.png,viz_samples/2435146_2899_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The North Side Bed Room is functionally balanced and the L-type workstation is configured."
viz_samples/2435146_5413_主卧_with_furn.png,viz_samples/2435146_5413_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The needs associated with the main bedroom are described as follows: ""The main bedroom needs to retain separate bath space."""
viz_samples/2435146_7547_阳台_with_furn.png,viz_samples/2435146_7547_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: The living room and the balcony are designed to enhance light collection."
viz_samples/2435146_63523_儿童房_with_furn.png,viz_samples/2435146_63523_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The North Side Bed Room is functionally balanced and the L-type workstation is configured."
viz_samples/2435146_63593_主卫_with_furn.png,viz_samples/2435146_63593_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: Master's bedroom needs to keep a separate bath space."
viz_samples/2435146_75591_衣帽间_with_furn.png,viz_samples/2435146_75591_衣帽间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: storage_room."
viz_samples/2435146_58133_卫生间_with_furn.png,viz_samples/2435146_58133_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/2435146_80948_干区_with_furn.png,viz_samples/2435146_80948_干区_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/2435146_147081_过道_with_furn.png,viz_samples/2435146_147081_过道_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: corridor."
viz_samples/2435146_4471260_玄关_with_furn.png,viz_samples/2435146_4471260_玄关_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: entrance. feature: We need to build an integrated top-of-the-shoe cabinet at the entry point."
viz_samples/2435146_4475963_客餐厅_with_furn.png,viz_samples/2435146_4475963_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: Open guest restaurant and kitchen on the right; fluid public social space developed"
viz_samples/2435163_4858_儿童房_with_furn.png,viz_samples/2435163_4858_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/2435163_6168_卫生间_with_furn.png,viz_samples/2435163_6168_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasises functional, hygienic, dry and wet separation."
viz_samples/2435163_15384_主卫_with_furn.png,viz_samples/2435163_15384_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom needs to be dry and wet; the middle of the right is the bathroom."
viz_samples/2435163_44030_客餐厅_with_furn.png,viz_samples/2435163_44030_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: The restaurant area wants to keep its eyes open."
viz_samples/2435163_44196_阳台_with_furn.png,viz_samples/2435163_44196_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: Right ahead is the living room area, with a luminum balcony."
viz_samples/2435174_11575_厨房_with_furn.png,viz_samples/2435174_11575_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen."
viz_samples/2435174_93470_卫生间_with_furn.png,viz_samples/2435174_93470_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom must be wet and dry."
viz_samples/2435174_99957_儿童房_with_furn.png,viz_samples/2435174_99957_儿童房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The right-hand side is a rest area (silent area) consisting of a main bedroom with a leisure window, a sub-brow (children's room) with a single bed and a learning table, and a public health room between the two bedrooms."
viz_samples/2435174_100063_主卧_with_furn.png,viz_samples/2435174_100063_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: The needs associated with the main bedroom are described as follows:"
viz_samples/2435174_111221_客餐厅_with_furn.png,viz_samples/2435174_111221_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: The home is a compact, two-room, two-room, first-guard structure."
viz_samples/2435174_288188_阳台_with_furn.png,viz_samples/2435174_288188_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: The main entrance at the bottom is an integrated space for a spacious guesthouse with a narrow, green balcony attached to the left."
viz_samples/2435181_4578_客卫_with_furn.png,viz_samples/2435181_4578_客卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/2435181_7299_小阳台_with_furn.png,viz_samples/2435181_7299_小阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony. feature: On the right are closed kitchens and connected living balconys."
viz_samples/2435181_10845_主卫_with_furn.png,viz_samples/2435181_10845_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The main guard must have an independent bathroom."
viz_samples/2435181_11953_老人房_with_furn.png,viz_samples/2435181_11953_老人房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: ""I hope the dining room area will be wide and bright, and a semi-open piano or learning area will be integrated in the living room area."" ""Maximum storage space will be needed, individual bedrooms will need to plan custom closets."""
viz_samples/2435181_39371_女孩房_with_furn.png,viz_samples/2435181_39371_女孩房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Two bedrooms at the upper right corner and the middle right/children ' s room"
viz_samples/2435181_48739_男孩房_with_furn.png,viz_samples/2435181_48739_男孩房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Two bedrooms at the upper right corner and the middle right/children ' s room"
viz_samples/2435181_57979_厨房_with_furn.png,viz_samples/2435181_57979_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. feature: The kitchen will be designed in a closed fashion to isolate the smoke and connect to the living balcony on the outside to facilitate laundry and drying."
viz_samples/2435181_58049_客餐厅_with_furn.png,viz_samples/2435181_58049_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: The dining room area is wide and bright, and a semi-open practice or learning area is integrated in the living room area."
viz_samples/2435181_69815_主卧_with_furn.png,viz_samples/2435181_69815_主卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: A description of the needs associated with the main bedroom: ""The main bedroom must have an independent bathroom."""
viz_samples/2436924_4984455_主卫_with_furn.png,viz_samples/2436924_4984455_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The main guard needs an independent bath and a wide rest area."
viz_samples/2436924_5070787_卫生间_with_furn.png,viz_samples/2436924_5070787_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The toilet emphasizes independence and functionality and requires dry and wet separation in order to maintain clean and hygienic conditions."
viz_samples/2436924_5070881_厨房_with_furn.png,viz_samples/2436924_5070881_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen. feature: Kitchen on the lower left corner; kitchen on stand-alone layout"
