image,edit_image,prompt
/share/home/202230550120/extracted_images_col20/edited_image_2995482.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2995482_floorplan.png,1. 拆除次卧（5.88㎡）与客餐厅之间的非承重隔墙，并将次卧南向墙体向北回缩。 2. 在原客餐厅北侧（卫生间西侧）的空旷区域，利用非承重轻质墙体隔出一个独立的单人长辈房。 3. 封堵主卧原向东开启的门洞，改从北侧走廊区域进入。 4. 移动卫生间门洞位置，将其调整至新建走廊的一侧，并实现干湿分离布局。
/share/home/202230550120/extracted_images_col20/edited_image_3002864.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3002864_floorplan.png,1. 拆除厨房与次卧、厨房与卫生间之间的非承重隔墙，将原厨房位置向次卧方向平移扩容。 2. 封堵原主卧朝向过道的门洞，改从客餐厅北侧新开门洞进入。 3. 在原卫生间与次卧交界处新建L型隔墙，实现干湿分离布局。 4. 将次卧门向南侧平移，利用走廊空间设置通长收纳柜或嵌入式家政区。
/share/home/202230550120/extracted_images_col20/edited_image_3004251.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3004251_floorplan.png,1. 拆除书房与客餐厅之间的非承重隔墙，将书房空间完全并入公共区域；2. 拆除主卧与客卫之间的非承重墙体，向主卧方向平移，扩大客卫面积以实现干湿分离；3. 在原本客餐厅的左侧（原书房对侧）新建轻质隔墙，围合出一个独立的多功能次卧空间；4. 封闭原主卫通往过道的门洞，改为从主卧内部进入，形成完整的主卧套房。
/share/home/202230550120/extracted_images_col20/edited_image_3010847.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3010847_floorplan.png,1. 拆除厨房与客厅之间的非承重墙体，将封闭式厨房改为开放式。 2. 拆除主卧与北侧过道/小房间之间的隔墙，将原有的一房一厅结构重组为一体化大主卧套间。 3. 封闭卫生间原向南开的门洞，改从卧室套间内部或过道侧方进入，并实现干湿分离布局。 4. 拆除客厅与次卧（左下角区域）之间的部分非承重隔墙，改用通透的玻璃隔断或半开放设计。
/share/home/202230550120/extracted_images_col20/edited_image_3021221.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3021221_floorplan.png,1. 拆除 76.16m² 大厅中央以及连接各小房间的所有非承重隔墙，特别是将 4.29m² 和 3.82m² 房间的墙体彻底打通。 2. 移除左上角 18.26m² 房间与大厅之间的隔墙，改为通透的隔断或大跨度横梁支撑。 3. 在户型最右侧 9.70m² 与 4.98m² 区域新建轻质隔墙，重新规划为带独立衣帽间和卫浴的套房。 4. 封闭原有多处零散分布的房门，在主干道两侧统一规划隐藏式入户门洞。
/share/home/202230550120/extracted_images_col20/edited_image_3022191.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3022191_floorplan.png,1. 拆除“客餐厅”与上方 6.59㎡ 房间之间的非承重墙体，将其并入大横厅；2. 拆除厨房与餐厅之间的隔墙，改为开放式设计；3. 拆除主卧、衣帽间与主卫之间的非承重隔墙，重构为一个包含双台盆卫浴和步入式收纳的大套间；4. 封闭次卫原走廊门洞，将门洞侧移并缩小，在公区走廊处利用非承重墙体向内退让，嵌入宠物洗脚/饮水龛位。
/share/home/202230550120/extracted_images_col20/edited_image_3022236.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3022236_floorplan.png,1. 拆除主卧（25.19㎡）内部的隔墙，将原有的两个小空间合并为一个大开间； 2. 拆除次卧（9.57㎡）与客餐厅之间的非承重隔墙，改用透明玻璃隔断或半开放柜体； 3. 封闭原卫生间朝向走道的门洞，在主卧内部新开门洞，实现主卧套房化； 4. 在客餐厅大空间中心区域，围绕结构柱增设一组中岛台面，并对玄关入口处增设 L 型遮挡隔断。
/share/home/202230550120/extracted_images_col20/edited_image_3033500.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3033500_floorplan.png,1. 拆除“男孩房”与“客餐厅”之间的非承重隔墙，并将墙体向客餐厅方向平移压缩，仅保留足以放置床位的深度；2. 在原“卫生间”与“主卧”门厅交界处新建隔墙，将卫生间改造为干湿分离布局，并向“主卧”内部借位扩建一个独立的0.5卫（次卫）；3. 封闭原“厨房”通往生活阳台的门洞，改为折叠门或玻璃移门，并将“男孩房”入口改至靠窗侧，腾挪出的走廊空间并入公共区；4. 将“主卧”入口外扩至走廊尽头，形成独立套房，并在内部利用非承重墙体划分出长辈房与主卧的过渡区。
/share/home/202230550120/extracted_images_col20/edited_image_3044927.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3044927_floorplan.png,1. 拆除客厅与次卧之间的非承重隔墙，并将次卧向北侧适度平移，在客厅区域新建轻质隔墙，划分出两个独立卧室；2. 封堵原主卧进入书房的门洞，将书房与阳台连通，并在过道处开设书房入口；3. 拆除厨房与餐厅之间的非承重墙体，改为半开放式或玻璃推拉门设计；4. 调整卫生间内部布局，实现干湿分离，并将洗手台外置于过道区域。
/share/home/202230550120/extracted_images_col20/edited_image_3045259.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/3045259_floorplan.png,1. 拆除客餐厅（174.17㎡）左侧与主卧、次卧相邻的非承重墙体，并向客厅方向平移，重新划分空间。 2. 拆除次卧（5.10㎡）与走廊之间的隔墙。 3. 在原超大客餐厅的右侧及南侧区域，利用轻质墙体隔出独立的书房/多功能室及储藏间，并保留大面积采光窗。 4. 将主卧（52.62㎡）内部的非承重L型隔墙拆除，重新规划步入式衣帽间与主卫的动线。
